id,Número do Incidente,label,predicted,Nota1,Nota2,Comentário
125,INC000026651549,elogio,elogio,5,5,atendimento em tempo recorde. parabéns
126,INC000026651628,elogio,elogio,5,5,"excelente atendimento, a atendente me explicou todo o procedimento de maneira clara e detalhada. está de parabéns"
127,INC000026651737,elogio,elogio,5,5,obrigada pela presteza
128,INC000026651687,elogio,elogio,5,5,grato pela colaboração
129,INC000026651801,elogio,elogio,5,5,atendimento excelente
130,INC000026651662,elogio,elogio,5,5,funcionário muito prestador!
131,INC000026652558,elogio,elogio,5,5,ótimo atendimento
132,INC000026653277,elogio,elogio,5,5,ótimo atendimento do thiago
133,INC000026653477,elogio,elogio,5,5,"ótimo atendimento, com atenção e eficiência"
134,INC000026653902,elogio,elogio,5,5,excelente atendimento
135,INC000026653864,elogio,elogio,5,5,agradeço pelo suporte dado pelo gabriel em solucionar o problema em meu acesso. nota 10 pela educação e atendimento
136,INC000026654295,elogio,elogio,5,5,demostrou empenho em resolver
137,INC000026654000,elogio,elogio,5,5,profissional competente e atencioso
138,INC000026654204,elogio,elogio,5,5,fui muito bem atendido
139,INC000026654448,elogio,elogio,5,5,obrigado pelo apoio
140,INC000026657998,elogio,elogio,5,5,eficiente
141,INC000026656571,elogio,elogio,5,5,foi resolvido rapidamente o problema
142,INC000026657874,elogio,elogio,5,5,ótimo atendimento. procedimento realizado com sucesso. satisfeito
143,INC000026658405,elogio,elogio,5,5,atendimento preciso e eficiente
144,INC000026658415,elogio,elogio,5,5,excelente atendimento preciso e rápido
145,INC000026658295,elogio,elogio,5,5,obrigado pela eficiência e rapidez
146,INC000026658442,elogio,neutro,5,5,execelente
147,INC000026658623,elogio,elogio,5,5,parabéns a todos
148,INC000026658779,elogio,elogio,5,5,muito bom o atendimento. rápido e eficiente
149,INC000026658940,elogio,elogio,5,5,"muito bom o atendimento efetuado por carol,objetivo alcançado"
150,INC000026659137,elogio,elogio,5,5,fui atendido com rapidez e precisão
151,INC000026659404,elogio,elogio,5,5,fui muito bom o atendimento
152,INC000026659487,elogio,elogio,5,5,"boa tarde, digníssmas/os companheiras/os. desejo registrar um elogio para colaboradora ana que estava de plantão no sábado, 02.07.2016. pelo seu empenho e vontade de querer resolver a necessidade que estava tendo para desempenhar minha função plenamente. grato, wagner rodrigues, ""o futuro pertence àqueles que se preparam hoje para ele"". malcoln x"
153,INC000026660167,elogio,elogio,5,5,parabéns a todos e obrigado pelo atendimento
154,INC000026561334,elogio,elogio,5,5,elogiar toda a equipe que envidou os esforços para solucionar o problema. parabéns!
155,INC000026575320,elogio,elogio,5,5,o elisson sempre nos atende além das nossas expectativas!
156,INC000026600603,elogio,elogio,5,5,excelente atendimento prestado pelo manoel
157,INC000026621190,elogio,elogio,5,5,atendimento objetivo
158,INC000026622721,elogio,elogio,5,1,obrigado por tudo.
159,INC000026624749,elogio,elogio,5,5,obrigada
160,INC000026625495,elogio,elogio,5,5,atendimento excelente!
161,INC000026626516,elogio,elogio,5,5,excelente atendimento!
162,INC000026626523,elogio,elogio,5,5,excelente atendimento!
163,INC000026626528,elogio,elogio,5,5,excelente atendimento!
164,INC000026626780,elogio,elogio,5,5,excelente atendimento!
165,INC000026626788,elogio,elogio,5,5,excelente atendimento!
166,INC000026628733,elogio,elogio,5,5,excelente atendimento!
167,INC000026630421,elogio,elogio,5,5,muito bom o atendimento e a presteza dos atendentes. obrigado!
168,INC000026631685,elogio,elogio,5,5,excelente prontidão
169,INC000026635132,elogio,elogio,5,5,agradeço pela atenção e serviço prestado. problema resolvido e ótimo atendimento
170,INC000026636056,elogio,elogio,5,5,bom dia.fui atendida com sucesso.obrigada
171,INC000026637967,elogio,elogio,4,5,ocorreu tudo bem obrigado
172,INC000026640443,elogio,elogio,5,5,"técnico se mostrou profissional e com excelente conhecimento, educado e cortês"
173,INC000026640917,elogio,elogio,5,5,agradecemos a atenção e agilidade da analista adriana veloso (chave kics) para solucionar esse incidente
174,INC000026640969,elogio,reclamação,4,1,"o chamado não foi resolvido pelo serviço da ti, mas recebi uma lista com os nomes e as chaves estruturais das pessoas que poderiam me ajudar a resolver o problema. já fiz contato com estas pessoas e uma delas me retornou dizendo que está tratando do assunto. muito obrigado pelo pronto atendimento ao meu pedido"
175,INC000026642593,elogio,elogio,5,5,ótimo atendimento
176,INC000026644216,elogio,elogio,5,1,excelente atendimento !
177,INC000026645222,elogio,elogio,5,5,"excelente atendimento, extremamente proativo!!!"
178,INC000026645880,elogio,elogio,5,5,bom atendimento
179,INC000026645922,elogio,elogio,5,5,"foi resolvido pelo apoio local, que foi bastante eficaz nos trabalhos!"
180,INC000026646013,elogio,elogio,5,5,apenas elogio pelo atendimento prestado
181,INC000026646816,elogio,elogio,5,5,excelente atendimento.
182,INC000026649284,elogio,elogio,5,5,excelente atendimento e presteza exemplar
183,INC000026649531,elogio,elogio,5,5,excelente atendimento
184,INC000026650123,elogio,elogio,5,5,muito grato pelo excelente atendimento. onofre
185,INC000026651052,elogio,elogio,5,5,"atendimento legal, tanto pelo primeiro atendimento, quanto pelo colaborador que removeu o micro"
186,INC000026651174,elogio,elogio,5,5,otimo atendimento
187,INC000026651605,elogio,elogio,5,5,rapidez e eficiência.
188,INC000026651836,elogio,elogio,5,5,chamado atendido e resolvido muito rapidamente
189,INC000026652093,elogio,elogio,5,5,atendimento muito bom
190,INC000026652361,elogio,elogio,5,5,excelente atendimento rápido e adequado
191,INC000026652541,elogio,elogio,5,5,bom dia.fui atendida com sucesso.obrigada
192,INC000026652760,elogio,elogio,5,5,obrigado !
193,INC000026653023,elogio,elogio,5,5,excelente suporte!
194,INC000026653249,elogio,neutro,4,5,"agradeço referente a desativação da chave, porém, sobre o token vinculado a empregada magda (rc1n), a mesma alega nunca ter utilizado.. vou ver com ela mais afundo o que consigo, pois não tenho aqui comigo nenhum aparelho de token físico pra devolver à tic que esteja no nome dela"
195,INC000026654740,elogio,elogio,5,5,solicitação atendida com acertividade e rapidez
196,INC000026657997,elogio,elogio,5,5,excelente atendimento parabéns a tic
197,INC000026658546,elogio,elogio,4,5,o atendimento foi muito bom
198,INC000026658960,elogio,elogio,5,5,obrigado
199,INC000026659436,elogio,elogio,5,5,obrigado
200,INC000026659951,elogio,elogio,5,5,"agradeço o bom atendimento, pois todas as vezes que solicitei a solução veio de imediato. a equipe esta de parabéns."
201,INC000026660089,elogio,elogio,5,5,a atendente jessica farias de espirito santo demonstrou pleno conhecimento à solução do problema da assinatura eletrônica. agradeço pela paciência e pelo comprometimento em resolver a questão.
202,INC000026660542,elogio,elogio,5,5,atendimento muito bom
203,INC000026660226,elogio,elogio,5,5,obrigado
204,INC000026660457,elogio,elogio,5,5,atendimento muito bom
205,INC000026660703,elogio,elogio,5,5,rápida resolução do problema
206,INC000026660964,elogio,elogio,5,5,parabéns a toda a equipe de apoio
207,INC000026660997,elogio,elogio,5,5,"atendimento resolvido, monitor excelente"
208,INC000026661093,elogio,elogio,4,5,o atendente foi cordial e claro nas explicações.
209,INC000026661250,elogio,elogio,5,5,"parabéns lidiane, pelo comprometimento na prestação do serviço!"
210,INC000026661230,elogio,elogio,5,5,ótimo atendimento. rápido e eficaz
211,INC000026661457,elogio,elogio,5,5,excelente atendimento da mayara
212,INC000026661507,elogio,elogio,5,5,"o funcionário leandro foi muito rápido, eficiente e educado"
213,INC000026661559,elogio,elogio,5,5,"solução rápida, muito bom"
214,INC000026661592,elogio,elogio,5,5,o problema foi resolvido em poucos minutos
215,INC000026661934,elogio,elogio,5,5,problema resolvido com rapidez
216,INC000026661916,elogio,elogio,5,5,atendimento eficiente
217,INC000026661925,elogio,elogio,5,5,"em todas as vezes em que foram acionados os profissionais do ti sempre nos atendem com cordialidade, responsabilidade e profissionalismo. obrigado"
218,INC000026662030,elogio,elogio,5,5,atendimento prestado com máxima eficiência
219,INC000026662220,elogio,elogio,5,5,parabéns pelo atendimento solícito e prestativo
220,INC000026662070,elogio,elogio,5,5,problema solucionado com rapidez e eficiência!
221,INC000026662400,elogio,elogio,5,5,muito atencioso o funcionário que me atendeu mateus
222,INC000026662268,elogio,elogio,5,5,"ótimo atendimento. rápido, ágil e eficaz. profissional demonstrou segurança no procedimento a ser feito e solucionou o problema"
223,INC000026662309,elogio,elogio,5,5,muito bom o pronto atendimento
224,INC000026662344,elogio,elogio,5,5,rápido
225,INC000026662653,elogio,elogio,5,5,atendimento eficiênte e rápido
226,INC000026662842,elogio,elogio,5,5,atendente demonstrou muito conhecimento e presteza no atendimento a demanda apresentada.
227,INC000026662809,elogio,elogio,5,5,perfeito melhor impossível
228,INC000026662911,elogio,elogio,5,5,o profissional bruno de sa klayn resolveu o problema com muita prontidão e eficiência
229,INC000026662909,elogio,elogio,5,5,agilidade e presteza nota 10!
230,INC000026662920,elogio,elogio,5,5,excelente atendimento
231,INC000026662839,elogio,elogio,5,5,excelente atendimento
232,INC000026663007,elogio,elogio,5,5,perfeito
233,INC000026662994,elogio,elogio,5,5,"parabéns pelo atendimento e presteza dos serviços,fui atendido satisfatoriamente,dentro dos prazos e resolvidos o problemas"
234,INC000026663166,elogio,elogio,5,5,o atendimento foi excelente
235,INC000026663293,elogio,elogio,5,5,excelente atendimento
236,INC000026663270,elogio,elogio,5,5,o técnico resolveu o problema rapidamente
237,INC000026663460,elogio,elogio,5,5,sensacional o atendimento. parabéns!
238,INC000026663603,elogio,elogio,5,5,agradeço o pronto atendimento
239,INC000026663416,elogio,elogio,5,5,muito bom atendimento!!
240,INC000026663781,elogio,elogio,5,5,fui muito bem atendido
241,INC000026663795,elogio,elogio,5,5,"excelente atendimento, deixo meu elogio ao colega pela presteza e solução rápida"
242,INC000026663747,elogio,elogio,4,5,ocorreu tudo certo obrigado
243,INC000026663918,elogio,elogio,5,5,excelente e muito prestativo
244,INC000026664080,elogio,elogio,5,5,excelente
245,INC000026664092,elogio,elogio,5,5,excelente
246,INC000026664028,elogio,elogio,5,5,a solicitação foi realizada com rapidez e eficiência.
247,INC000026664025,elogio,elogio,5,5,satisfeita com o atendimento e domínio do atendente com a ferramenta
248,INC000026664288,elogio,elogio,5,5,"a atendente foi uma das melhores que me atenderam até hoje, seja no quesito cordialidade, seja no técnico. esclareceu dúvidas, sugeriu mudanças e executou com habilidade. parabéns à lidiane."
249,INC000026664475,elogio,elogio,5,5,atendimento foi excelente
250,INC000026664681,elogio,elogio,5,5,ótimo atendimento
251,INC000026665099,elogio,elogio,5,5,excelente
252,INC000026665141,elogio,elogio,5,5,"ótimo atendimento, no melhor tempo possível"
253,INC000026665065,elogio,elogio,5,5,o atendimento do leandro foi excelente. parabéns !
254,INC000026665487,elogio,elogio,5,5,"otimo o atendente ter me procurado via sametime para resolver, gostei! eficiente!"
255,INC000026665269,elogio,elogio,4,5,ocorreu tudo certo obrigado
256,INC000026664804,elogio,elogio,5,5,excelente atendimento: rápido e eficiente!!!
257,INC000026666040,elogio,elogio,5,5,tempo de atendimento nota 10! parabéns!
258,INC000026666059,elogio,elogio,5,5,como sempre o atendimento dos meninos da telefonia é excelente!
259,INC000026665947,elogio,elogio,5,5,atende super cordial e atencioso
260,INC000026666221,elogio,elogio,5,5,ótimo atendimento.
261,INC000026666664,elogio,elogio,5,5,atendimento excelente
262,INC000026666977,elogio,elogio,5,5,excelente atendimento
263,INC000026667679,elogio,elogio,5,5,excelente prestatividade. parabéns
264,INC000026667467,elogio,elogio,5,5,atendimento resolvido com sucesso conforme solicitado
265,INC000026667888,elogio,elogio,5,5,excelente prestatividade. parabéns
266,INC000026667920,elogio,elogio,5,5,"atendimento eficaz, super rápido e resolveu a solicitação imediatamente"
267,INC000026668095,elogio,elogio,5,5,excelente prestatividade. parabéns
268,INC000026667940,elogio,elogio,5,5,excelente atendimento
269,INC000026668230,elogio,elogio,5,5,parabéns ao joão carlos pela eficiência no seu trabalho
270,INC000026668442,elogio,elogio,5,5,"atendende, educado,prestativo e comprometido em resolver o problema"
271,INC000026668306,elogio,elogio,5,5,excelente atendimento
272,INC000026668305,elogio,elogio,4,5,obrigada
273,INC000026668481,elogio,elogio,5,5,ótimo atendimento.
274,INC000026668440,elogio,elogio,5,5,os atendentes foram bastante atenciosos e solícitos. muito satisfeito!
275,INC000026668740,elogio,elogio,5,5,atendimento realizado com sucesso
276,INC000026669116,elogio,elogio,5,5,"apesar do sistema de acesso remoto não estar funcionando na minha maquina, a senhora que estava me ate atendendo não desistiu do chamado e conseguir me orientar por meio de prints do sap e colocados no sametime. muito prestativa e objetiva. resolveu meu problema por inteiro e consegui encerrar os peps necessários. vale aqui meu reconhecimento e agradecimento"
277,INC000026669197,elogio,elogio,5,5,resolvido com rapidez!
278,INC000026669389,elogio,elogio,5,5,atendente muito solícita
279,INC000026669427,elogio,elogio,5,5,muito bom o atendimento
280,INC000026670049,elogio,elogio,5,5,excelente atendente.... super atenciosa e objetiva
281,INC000026670070,elogio,elogio,5,5,excelente atendimento
282,INC000026670106,elogio,elogio,5,5,atendimento excelente
283,INC000026670322,elogio,elogio,5,5,"excelente atendimento pela flávia! muito prestativa, paciente e eficaz na resolução da demanda"
284,INC000026670678,elogio,elogio,5,5,"muito obrigado por solucionar o problema. sds, lauro"
285,INC000026670911,elogio,elogio,5,5,atendimento rápido e eficiente
286,INC000026671529,elogio,elogio,4,5,bom atendimento
287,INC000026671434,elogio,elogio,5,5,"muito bom o atendimento pela mõnica, bem didático e objetivo"
288,INC000026436174,elogio,elogio,5,5,"destaco o trabalho e apoio do técnico paulo alexandre da silveira, que foi excelente"
289,INC000026555913,elogio,elogio,5,5,excelente atendimento!
290,INC000026594539,elogio,elogio,5,5,"muito bem atendido, com rapidez, eficiência e cordialidade. obrigado"
291,INC000026611441,elogio,elogio,5,5,ótimo atendimento por parte dos apoiadores locais que foram bastante educados e atenciosos. além de demonstrarem grande conhecimento
292,INC000026616741,elogio,elogio,5,5,excelente atendimento
293,INC000026621749,elogio,elogio,5,5,excelente atendimento
294,INC000026624392,elogio,elogio,5,5,perfeito atendimento
295,INC000026633078,elogio,elogio,5,5,"agradeço à equipe pela troca da máquina, pois tive diversos problemas com a antiga e estava compromentendo meu desempenho no campo"
296,INC000026633968,elogio,elogio,5,5,equipe muito eficiente
297,INC000026635863,elogio,elogio,5,5,o colaborador jamillo atendeu prontamente e esforçou-se para resolver da melhor maneira possível o meu problema.
298,INC000026636398,elogio,elogio,5,5,atendimento eficaz e sempre com antecipação ao horario marcado
299,INC000026637002,elogio,elogio,5,5,"faço um elogio ao técnico diogo waldmann moura, identificador 40405810, da tic/cpie/atic/al, pelo empenho e rapidez em atender à necessidade"
300,INC000026638759,elogio,elogio,5,5,excelente!
301,INC000026639782,elogio,elogio,5,5,atendimento excelente
302,INC000026639693,elogio,elogio,5,5,o chamado foi prontamente atendido pelo prestador de serviço bdv6 que solucionou e testou o equipamento.muito obrigada
303,INC000026640712,elogio,elogio,5,5,muito obrigado
304,INC000026641644,elogio,neutro,5,5,otimo
305,INC000026642237,elogio,elogio,5,5,"excelente atendimento, como sempre"
306,INC000026643693,elogio,elogio,5,5,atendimento muito rápido. parabéns
307,INC000026644010,elogio,elogio,5,5,excelente atendimento
308,INC000026645115,elogio,elogio,5,5,atendimento muito bom. funcionário bastante prestativo
309,INC000026645592,elogio,elogio,5,5,minha máquina ficou excelente
310,INC000026647209,elogio,elogio,5,5,excelente atendimento
311,INC000026649787,elogio,elogio,5,5,excelente atendimento
312,INC000026650813,elogio,elogio,5,5,"quero deixar registrado que david felix (chave a6am) que foi excelente no atendimento que me deu, tentando resolver, buscando informações e dando a atenção e o encaminhamento para a resolução do chamado. parabéns a ele e que continue assim!"
313,INC000026650850,elogio,elogio,5,5,para o atendimento local - excelente
314,INC000026653765,elogio,elogio,5,5,o atendimento foi ótimo. agradecemos imensamente a equipe tic
315,INC000026657842,elogio,elogio,5,5,muito bom o atendimento
316,INC000026661007,elogio,elogio,4,5,agradeço e parabenizo a empregada que me ajudou a resolver problema
317,INC000026661198,elogio,elogio,5,5,"ótimo, muito rápido"
318,INC000026661845,elogio,neutro,4,5,rapido
319,INC000026661877,elogio,neutro,5,1,o chamado não foi resolvido pois o problema na chave era outro. o fábio esclareceu prontamente como resolver o problema
320,INC000026662134,elogio,elogio,4,5,serviço realizado rapidamente
321,INC000026662266,elogio,elogio,5,5,méritos ao atendimento de ramon e fabricio.
322,INC000026662874,elogio,elogio,5,5,técnico atencioso e conhecedor da solução executada
323,INC000026662953,elogio,elogio,5,5,obrigado pelo rápido atendimento!
324,INC000026663366,elogio,elogio,5,5,o atendimento foi rápido e efetivo
325,INC000026663874,elogio,elogio,5,5,"excelente atendimento pelo felipe e diego. resolução do problema em tempo recorde e com plena pro-atividade, dedicação e comprometimento. muito obrigado"
326,INC000026663878,elogio,elogio,5,5,muito atencioso e com boa vontade em resolver o problema
327,INC000026665138,elogio,elogio,4,5,muito prestativo. ótimo atendimento
328,INC000026665335,elogio,elogio,5,5,agradeço pelo pronto atendimento da equipe tic
329,INC000026665812,elogio,elogio,5,5,grata pelo rápido retorno
330,INC000026666344,elogio,elogio,5,5,ótima atenção e comprometimento do colaborador alexandre em resolver o problema! parabéns pelo trabalho desenvolvido e atendimento
331,INC000026667709,elogio,elogio,5,5,atendimento feito em tempo satisfatório. muito bom trabalho
332,INC000026668675,elogio,elogio,5,5,excelente
333,INC000026668730,elogio,elogio,5,5,muito obrigada
334,INC000026668761,elogio,elogio,5,5,o marcelo foi muito paciente e prestativo. parabéns pelo atendimento!
335,INC000026669238,elogio,elogio,5,5,ótimo serviço prestado. destacar pela atenção
336,INC000026670314,elogio,elogio,5,5,muito satisfeito com o atendimento
337,INC000026670432,elogio,elogio,5,5,ótimo atendimento
